time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,50,00,00,00
1,50,00,00,00
2,50,00,00,00
3,51,00,00,00
4,50,00,00,00
5,50,00,00,00
6,49,00,00,00
7,50,00,00,00
8,50,00,00,00
9,50,00,00,00
10,50,00,00,00
11,51,00,00,00
12,54,00,00,00
13,56,00,00,00
14,56,00,00,00
15,61,00,00,00
16,61,00,00,00
17,59,00,00,00
18,60,00,00,00
19,67,00,00,00
20,75,00,00,00
21,84,00,00,00
22,91,00,00,00
23,95,00,00,00
24,99,00,00,00
25,87,00,00,00
26,65,00,00,00
27,52,00,00,00
28,48,00,00,00
29,46,61,82,00
30,44,60,83,00
31,43,60,84,00
32,44,60,85,00
33,43,60,86,00
34,43,60,87,00
35,43,59,88,00
36,43,59,89,00
37,43,59,90,00
38,44,59,91,00
39,43,59,91,00
40,43,58,92,00
41,43,58,93,00
42,43,58,94,00
43,43,57,96,00
44,43,57,96,00
45,44,56,97,00
46,44,56,98,00
47,44,55,98,00
48,44,55,99,00
49,43,54,98,00
50,43,53,96,00
51,43,51,91,00
52,45,50,82,00
53,45,48,68,00
54,43,46,46,00
55,43,45,21,00
56,43,44,07,00
57,43,44,03,00
58,42,44,02,00
59,42,43,01,00
60,42,43,02,00
61,42,43,02,00
62,41,43,02,00
63,41,43,03,00
64,40,43,04,00
65,40,43,04,00
66,39,43,05,00
67,39,43,06,00
68,38,42,07,00
69,37,42,08,00
70,37,42,09,00
71,38,42,10,00
72,39,42,10,00
73,40,42,10,00
74,41,42,10,00
75,42,42,10,00
76,43,41,10,00
77,43,41,10,00
78,45,41,10,00
79,47,42,11,00
80,48,42,12,00
81,49,42,14,00
82,49,42,15,00
83,50,42,16,00
84,50,42,18,00
85,51,43,19,00
86,51,43,21,00
87,51,43,22,00
88,52,44,24,00
89,52,44,25,00
90,52,44,26,00
91,52,45,27,00
92,53,45,28,00
93,52,45,28,00
94,52,46,29,00
95,51,46,28,00
96,50,47,28,01
97,51,47,27,01
98,51,47,26,01
99,50,48,24,01
100,50,48,22,01
101,51,49,20,01
102,51,49,18,01
103,51,49,16,01
104,51,50,13,01
105,51,50,12,01
106,50,50,10,01
107,50,50,07,01
108,51,51,05,01
109,50,51,04,01
110,50,51,03,01
111,51,51,03,01
112,51,51,02,01
113,50,51,02,01
114,49,51,02,01
115,49,51,03,01
116,49,51,03,01
117,50,51,03,01
118,50,51,03,01
119,50,51,03,01
120,49,51,03,01
121,50,50,03,01
122,49,50,02,01
123,49,50,02,01
124,50,50,01,01
125,50,50,01,01
126,49,50,01,01
127,49,50,02,01
128,49,50,02,01
129,49,50,02,01
130,49,50,02,01
131,49,50,02,01
132,50,50,02,01
133,50,50,01,01
134,50,50,01,01
135,50,50,01,01
136,49,50,01,01
137,49,50,01,01
138,51,50,01,01
139,49,50,01,01
140,49,50,00,01
141,49,49,00,01
142,49,49,00,01
143,49,49,00,01
144,49,49,00,01
145,49,49,00,01
146,49,49,00,01
147,49,49,00,02
148,49,49,00,02
149,49,49,00,02
150,50,49,00,02
151,49,49,00,02
152,49,49,00,01
153,49,49,00,01
154,49,49,00,01
155,49,49,00,01
156,49,49,00,01
157,50,49,00,01
158,49,49,00,01
159,50,49,00,01
160,50,49,00,01
161,47,49,01,01
162,47,49,02,01
163,48,49,02,01
164,49,49,02,01
165,50,49,02,01
166,49,49,02,01
167,49,49,02,01
168,50,49,02,01
169,49,49,02,01
170,49,49,02,01
171,49,49,02,01
172,49,49,02,01
173,49,49,02,01
174,49,49,02,01
175,49,49,02,01
176,48,49,02,01
177,45,49,04,01
178,46,49,04,01
179,44,49,06,01
180,40,48,09,01
181,38,48,13,01
182,39,48,15,01
183,38,47,18,01
184,30,47,24,01
185,21,46,34,01
186,11,44,47,00
187,05,43,61,00
188,04,41,71,00
189,00,40,81,00
190,18,39,83,00
191,40,38,83,00
192,49,38,83,00
193,52,39,84,00
194,53,39,84,00
195,54,39,85,00
196,55,39,86,00
197,56,39,87,00
198,56,39,88,00
199,54,40,88,00
200,54,40,89,00
201,54,40,90,00
202,55,40,90,00
203,56,40,91,00
204,56,41,92,00
205,56,41,93,00
206,55,41,94,00
207,55,41,95,00
208,55,42,96,00
209,55,42,97,00
210,55,43,97,00
211,55,43,98,00
212,55,44,99,00
213,55,44,99,00
214,54,45,98,00
215,54,46,96,00
216,54,48,89,00
217,55,49,78,00
218,56,51,63,00
219,56,53,37,00
220,55,54,14,00
221,55,55,05,00
222,56,55,03,00
223,56,55,02,00
224,54,55,02,00
225,55,55,02,00
226,56,55,02,00
227,57,55,02,00
228,58,55,03,00
229,58,55,03,00
230,58,55,04,00
231,58,56,04,00
232,59,56,05,00
233,60,56,06,00
234,60,56,07,00
235,58,56,07,00
236,58,56,08,00
237,58,56,08,00
238,57,56,08,00
239,56,56,08,00
240,56,56,08,00
241,55,56,08,00
242,55,56,08,00
243,53,56,08,00
244,51,56,09,00
245,50,56,10,00
246,49,56,12,00
247,49,56,14,00
248,48,55,15,00
249,47,55,17,00
250,46,55,19,00
251,46,55,21,00
252,45,54,23,00
253,43,54,25,00
254,43,53,27,00
255,43,53,28,00
