time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,99,00,00,00
1,60,00,00,00
2,36,00,00,00
3,30,00,00,00
4,25,00,00,00
5,22,00,00,00
6,21,00,00,00
7,23,00,00,00
8,22,00,00,00
9,21,00,00,00
10,22,00,00,00
11,21,00,00,00
12,22,00,00,00
13,22,00,00,00
14,22,00,00,00
15,21,00,00,00
16,21,00,00,00
17,21,00,00,00
18,21,00,00,00
19,22,00,00,00
20,22,00,00,00
21,22,00,00,00
22,23,00,00,00
23,23,00,00,00
24,21,00,00,00
25,21,00,00,00
26,22,00,00,00
27,24,00,00,00
28,24,00,00,00
29,21,27,99,00
30,21,24,47,00
31,21,23,19,00
32,20,22,11,00
33,19,22,07,00
34,19,22,06,00
35,19,22,07,00
36,19,21,08,00
37,18,21,08,00
38,17,21,09,00
39,16,21,11,00
40,15,21,13,00
41,15,21,15,00
42,14,20,16,00
43,13,20,18,00
44,11,20,21,00
45,10,19,23,00
46,13,19,24,00
47,15,19,24,00
48,15,19,25,00
49,17,18,24,00
50,20,18,24,00
51,21,18,24,00
52,21,18,23,00
53,24,18,23,00
54,27,18,26,00
55,30,19,28,00
56,31,19,32,00
57,32,19,34,00
58,33,20,37,00
59,34,20,41,00
60,34,20,44,01
61,35,21,47,01
62,36,21,50,01
63,37,22,53,01
64,37,23,56,01
65,37,23,58,01
66,37,24,60,01
67,38,24,62,01
68,37,25,63,01
69,37,26,63,01
70,35,26,63,01
71,34,27,62,01
72,34,28,60,01
73,35,29,58,01
74,34,29,54,01
75,34,30,49,01
76,34,31,45,01
77,35,31,41,01
78,35,32,36,01
79,35,33,31,01
80,35,33,27,01
81,34,34,23,01
82,34,34,18,01
83,35,34,14,01
84,34,35,11,01
85,34,35,10,01
86,34,35,09,01
87,35,35,08,01
88,33,35,08,01
89,32,35,08,01
90,32,35,09,01
91,32,35,09,01
92,33,35,10,01
93,33,35,09,01
94,33,34,09,01
95,32,34,09,01
96,33,34,09,01
97,32,34,08,01
98,32,34,07,01
99,33,34,06,01
100,33,34,06,01
101,32,33,06,01
102,32,33,06,01
103,32,33,07,01
104,32,33,07,01
105,32,33,07,02
106,32,33,07,02
107,33,33,07,02
108,33,33,06,02
109,33,33,06,02
110,33,33,05,02
111,32,33,05,02
112,32,33,05,02
113,34,33,04,02
114,32,33,04,02
115,32,32,04,02
116,31,32,04,02
117,31,32,04,02
118,32,32,04,02
119,32,32,04,02
120,32,32,04,02
121,32,32,04,01
122,32,32,03,01
123,32,32,03,01
124,32,32,03,01
125,33,32,03,01
126,32,32,03,01
127,31,32,03,01
128,31,32,04,01
129,31,32,04,01
130,32,32,03,01
131,32,32,03,01
132,33,32,04,01
133,32,32,03,01
134,33,32,04,01
135,34,32,04,01
136,31,32,04,01
137,31,32,04,01
138,30,32,05,01
139,31,32,05,01
140,31,32,05,01
141,31,32,05,01
142,31,32,05,01
143,31,32,04,01
144,32,32,04,01
145,32,32,04,01
146,32,32,04,01
147,32,32,04,01
148,32,32,04,01
149,32,32,04,01
150,32,32,04,01
151,32,32,04,01
