time_step,sensor_1,sensor_1_mean,sensor_1_std,sensor_1_centroid
0,22,00,00,00
1,22,00,00,00
2,22,00,00,00
3,22,00,00,00
4,22,00,00,00
5,22,00,00,00
6,22,00,00,00
7,22,00,00,00
8,22,00,00,00
9,22,00,00,00
10,22,00,00,00
11,22,00,00,00
12,22,00,00,00
13,22,00,00,00
14,22,00,00,00
15,22,00,00,00
16,22,00,00,00
17,22,00,00,00
18,22,00,00,00
19,22,00,00,00
20,21,00,00,00
21,21,00,00,00
22,21,00,00,00
23,22,00,00,00
24,22,00,00,00
25,23,00,00,00
26,23,00,00,00
27,23,00,00,00
28,23,00,00,00
29,23,22,00,00
30,23,22,00,00
31,23,22,00,00
32,23,22,00,00
33,23,22,01,01
34,23,22,01,01
35,23,22,01,01
36,23,22,01,01
37,23,22,01,01
38,23,22,01,01
39,22,22,01,01
40,22,22,01,01
41,23,22,01,01
42,23,23,01,01
43,23,23,01,01
44,22,23,01,01
45,22,23,01,01
46,22,23,00,01
47,19,23,01,01
48,18,22,03,01
49,26,23,03,01
50,40,23,11,01
51,59,24,27,01
52,67,26,40,01
53,70,28,51,01
54,63,29,57,01
55,48,30,58,01
56,33,30,58,01
57,24,30,58,01
58,19,30,59,01
59,16,30,59,01
60,15,29,60,01
61,14,29,61,01
62,14,29,62,01
63,14,29,63,01
64,14,28,63,01
65,14,28,64,01
66,14,28,65,01
67,14,27,66,01
68,15,27,66,01
69,15,27,67,01
70,15,27,67,01
71,15,26,68,01
72,15,26,68,01
73,15,26,69,01
74,17,26,69,01
75,17,25,69,01
76,17,25,69,01
77,17,25,69,01
78,17,25,69,01
79,17,25,70,01
80,18,24,69,01
81,18,23,64,01
82,17,21,55,01
83,17,19,40,01
84,17,18,25,00
85,16,17,13,00
86,17,16,06,00
87,17,16,03,00
88,17,16,03,00
89,26,16,06,00
90,25,16,08,00
91,24,17,10,00
92,23,17,10,00
93,23,17,11,00
94,23,18,11,00
95,23,18,11,00
96,23,18,12,00
97,23,19,12,00
98,23,19,12,00
99,23,19,12,00
100,22,19,11,00
101,22,20,11,00
102,22,20,11,00
103,22,20,10,00
104,20,20,10,00
105,20,20,10,00
106,21,21,10,00
107,21,21,09,00
108,20,21,09,00
109,22,21,09,00
110,23,21,09,00
111,23,21,08,00
112,23,21,08,00
113,23,22,07,00
114,23,22,07,00
115,23,22,06,00
116,23,22,05,00
117,23,23,04,00
118,23,23,02,00
119,22,23,02,00
120,22,23,02,00
121,23,23,02,00
122,23,23,02,00
123,23,23,02,00
124,22,23,01,00
125,22,22,01,00
126,22,22,01,00
127,22,22,01,00
128,20,22,02,00
129,20,22,02,00
130,21,22,02,00
131,22,22,02,00
132,22,22,02,00
133,22,22,02,00
134,22,22,02,00
135,22,22,02,01
136,22,22,01,01
137,22,22,01,01
138,19,22,02,01
139,19,22,02,01
140,23,22,02,01
141,31,22,05,01
142,43,23,14,01
143,58,24,28,01
144,81,26,49,01
145,99,29,72,01
146,89,31,84,01
147,56,32,86,01
148,22,32,86,01
149,01,31,89,01
150,00,30,91,01
151,05,30,93,01
152,10,29,94,01
153,12,29,95,01
154,12,29,96,01
155,12,28,96,01
156,12,28,97,01
157,12,28,97,01
158,13,27,98,01
159,14,27,98,01
160,15,27,99,01
161,16,27,99,01
162,18,27,99,01
163,19,27,99,01
164,22,27,99,00
165,23,27,99,00
166,23,27,99,00
167,23,27,99,00
168,25,27,99,00
169,26,27,99,00
170,26,27,99,00
171,27,27,99,00
172,29,27,98,00
173,29,26,95,00
174,29,24,85,00
175,29,22,65,00
176,30,20,41,00
177,31,19,33,00
178,31,19,34,00
179,31,20,32,00
180,31,21,29,00
181,31,22,27,00
182,30,23,27,00
183,29,23,26,00
184,29,24,25,00
185,27,24,23,00
186,26,25,22,00
187,26,25,20,00
188,26,26,18,00
189,25,26,16,00
190,23,26,14,00
191,24,27,12,00
192,24,27,10,00
193,24,27,09,00
194,24,27,09,00
195,24,27,09,00
196,25,27,08,00
197,25,27,08,00
198,25,27,08,00
199,25,27,08,00
200,25,27,08,00
201,25,27,08,00
202,24,27,09,00
203,24,27,09,00
204,24,27,09,00
205,25,26,09,00
206,26,26,08,00
207,27,26,08,00
208,27,26,07,00
209,28,26,06,00
210,28,26,06,00
211,28,26,05,00
212,28,26,04,00
213,28,26,04,00
214,28,26,04,00
215,28,26,04,00
216,28,26,04,00
217,28,26,04,00
218,29,26,04,00
219,28,26,05,00
220,28,26,04,00
221,28,26,04,00
222,28,26,04,00
223,28,26,04,00
224,28,27,04,00
225,28,27,04,00
226,28,27,04,00
227,28,27,04,00
228,28,27,03,00
